epoch,loss,accuracy
1,1.7558847665786743,0.2571428716182709
2,1.5147780179977417,0.32380953431129456
3,1.6012191772460938,0.41904762387275696
4,1.4451744556427002,0.39047619700431824
5,1.3288829326629639,0.37142857909202576
6,1.3322323560714722,0.4761904776096344
7,1.2586220502853394,0.5142857432365417
8,1.2663012742996216,0.5047619342803955
9,1.3548239469528198,0.5428571701049805
10,1.286146640777588,0.5142857432365417
11,1.477783203125,0.5333333611488342
12,1.8398561477661133,0.5333333611488342
13,1.9908227920532227,0.5714285969734192
14,2.27990460395813,0.523809552192688
15,1.995540976524353,0.5142857432365417
16,2.5456254482269287,0.5333333611488342
17,2.5299198627471924,0.5809524059295654
18,3.454665422439575,0.5142857432365417
19,2.113159656524658,0.5428571701049805
20,3.9434666633605957,0.5333333611488342
