epoch,loss,accuracy
1,1.6526384353637695,0.20000000298023224
2,1.5617897510528564,0.27619048953056335
3,1.6769165992736816,0.2666666805744171
4,1.3587175607681274,0.3523809611797333
5,1.2486618757247925,0.5523809790611267
6,1.1787269115447998,0.5428571701049805
7,1.3376028537750244,0.523809552192688
8,1.3177814483642578,0.5809524059295654
9,1.5899558067321777,0.4952380955219269
10,1.8279473781585693,0.5428571701049805
11,2.0448620319366455,0.523809552192688
12,2.442676544189453,0.5047619342803955
13,2.0318448543548584,0.5428571701049805
14,1.6690326929092407,0.523809552192688
15,2.1513569355010986,0.4571428596973419
16,2.3198795318603516,0.5809524059295654
17,2.421335220336914,0.48571428656578064
18,2.2486910820007324,0.5428571701049805
19,2.27506947517395,0.5333333611488342
20,2.27451753616333,0.523809552192688
