epoch,loss,accuracy
1,1.5949671268463135,0.24761904776096344
2,1.5356658697128296,0.37142857909202576
3,1.4724845886230469,0.3523809611797333
4,1.408409833908081,0.43809524178504944
5,1.3088833093643188,0.5047619342803955
6,1.46307373046875,0.4285714328289032
7,1.3465192317962646,0.5047619342803955
8,1.3228473663330078,0.5809524059295654
9,1.5571943521499634,0.5714285969734192
10,1.5471892356872559,0.5904762148857117
11,1.7536245584487915,0.561904788017273
12,2.002110481262207,0.5714285969734192
13,3.402104616165161,0.4952380955219269
14,1.8855576515197754,0.561904788017273
15,2.4270455837249756,0.5523809790611267
16,2.363797187805176,0.6095238327980042
17,2.2567977905273438,0.6000000238418579
18,2.512587547302246,0.5809524059295654
19,2.457190752029419,0.6380952596664429
20,2.555323839187622,0.6285714507102966
