epoch,loss,accuracy
1,1.6041550636291504,0.2380952388048172
2,1.5883629322052002,0.2571428716182709
3,1.5618699789047241,0.32380953431129456
4,1.5326766967773438,0.32380953431129456
5,1.4896711111068726,0.34285715222358704
6,1.5091286897659302,0.29523810744285583
7,1.4954103231430054,0.34285715222358704
8,1.4621285200119019,0.4000000059604645
9,1.4116321802139282,0.37142857909202576
10,1.5462549924850464,0.3523809611797333
11,1.4048960208892822,0.4095238149166107
12,1.435921549797058,0.41904762387275696
13,1.4541569948196411,0.4000000059604645
14,1.5782997608184814,0.4095238149166107
15,1.4953609704971313,0.41904762387275696
16,1.8112062215805054,0.4095238149166107
17,1.9603145122528076,0.4285714328289032
18,2.0716896057128906,0.380952388048172
19,2.51979398727417,0.4476190507411957
20,3.1704773902893066,0.4571428596973419
