epoch,loss,accuracy
1,1.5997682809829712,0.2380952388048172
2,1.6174519062042236,0.2666666805744171
3,1.4712105989456177,0.4000000059604645
4,1.4979000091552734,0.32380953431129456
5,1.549332857131958,0.46666666865348816
6,1.449221134185791,0.4095238149166107
7,1.3883519172668457,0.5523809790611267
8,1.4065393209457397,0.561904788017273
9,1.4537469148635864,0.5523809790611267
10,1.8005259037017822,0.5904762148857117
11,3.2966771125793457,0.5333333611488342
12,2.1062793731689453,0.561904788017273
13,3.010467529296875,0.5523809790611267
14,3.618846893310547,0.523809552192688
15,3.7114434242248535,0.523809552192688
16,4.209010124206543,0.5142857432365417
17,5.004549026489258,0.5333333611488342
18,4.957328796386719,0.5333333611488342
19,5.634580135345459,0.5047619342803955
20,4.218367576599121,0.5142857432365417
