epoch,loss,accuracy
1,1.5297765731811523,0.27619048953056335
2,1.2547714710235596,0.4952380955219269
3,1.1903579235076904,0.5523809790611267
4,1.0557359457015991,0.6000000238418579
5,1.016274333000183,0.6095238327980042
6,1.542353630065918,0.6095238327980042
7,1.347952961921692,0.5714285969734192
8,1.2450883388519287,0.6095238327980042
9,2.1304264068603516,0.4952380955219269
10,1.1754976511001587,0.6380952596664429
11,1.3296297788619995,0.5904762148857117
12,1.8359025716781616,0.5904762148857117
13,1.5190541744232178,0.5904762148857117
14,1.6560711860656738,0.6000000238418579
15,1.7953604459762573,0.561904788017273
16,1.8233857154846191,0.5523809790611267
17,1.8294107913970947,0.5714285969734192
18,1.8556312322616577,0.5714285969734192
19,1.8762540817260742,0.5714285969734192
20,1.8877103328704834,0.5714285969734192
