epoch,loss,accuracy
1,1.6085747480392456,0.20000000298023224
2,1.567759394645691,0.41904762387275696
3,1.5975691080093384,0.32380953431129456
4,1.4735206365585327,0.2857142984867096
5,1.3516424894332886,0.48571428656578064
6,1.3051652908325195,0.5142857432365417
7,1.1654949188232422,0.5809524059295654
8,1.3036258220672607,0.5142857432365417
9,1.3075677156448364,0.5142857432365417
10,1.3313860893249512,0.523809552192688
11,1.6220155954360962,0.5333333611488342
12,1.711146354675293,0.48571428656578064
13,1.3989540338516235,0.6190476417541504
14,1.4884114265441895,0.6000000238418579
15,1.8230427503585815,0.561904788017273
16,1.942787528038025,0.5809524059295654
17,1.7455523014068604,0.6000000238418579
18,1.818451166152954,0.6380952596664429
19,1.9431971311569214,0.5904762148857117
20,1.9398159980773926,0.6000000238418579
